reference,description,color_normalized,product_key,opening_qty,movement_rows
010101,PERUANA 200 GR,ARENA,010101|ARENA,4195.07,221
050101,BURDA HEAVY 405 GRMS,NEGRO,050101|NEGRO,1651.1,94
050101,BURDA HEAVY 405 GRMS,RATA,050101|RATA,611.6,34
050101,BURDA HEAVY 405 GRMS,ROJO,050101|ROJO,370.8,20
050201,RIB BURDA,ARENA,050201|ARENA,60.5,1
050201,RIB BURDA,AZUL M,050201|AZUL M,124.99999999999999,1
050201,RIB BURDA,BLANCO,050201|BLANCO,41.1,1
050201,RIB BURDA,CAMEL,050201|CAMEL,43.4,1
050201,RIB BURDA,CEMENTO,050201|CEMENTO,50.10000000000001,1
050201,RIB BURDA,IVORY,050201|IVORY,155.0,1
050201,RIB BURDA,NEGRO,050201|NEGRO,212.10000000000002,1
050201,RIB BURDA,RATA,050201|RATA,51.60000000000001,1
050201,RIB BURDA,ROJO,050201|ROJO,44.959999999999994,1
060101,REEB PESADO,ARENA,060101|ARENA,442.2,18
060101,REEB PESADO,AZUL M,060101|AZUL M,446.2,18
060101,REEB PESADO,BLANCO,060101|BLANCO,1599.4,65
060101,REEB PESADO,IVORY,060101|IVORY,2342.5,95
060101,REEB PESADO,KAKY,060101|KAKY,1344.9,54
060101,REEB PESADO,NEGRO,060101|NEGRO,5478.0,219
060101,REEB PESADO,PISTACHO,060101|PISTACHO,270.5,11
060101,REEB PESADO,ROJO,060101|ROJO,23.3,1
060101,REEB PESADO,ROSE,060101|ROSE,175.8,7
510101,TIPO B PERUANA 200 GR,BLANCO,510101|BLANCO,40.43,2
510101,TIPO B PERUANA 200 GR,CEMENTO,510101|CEMENTO,97.7,5
510101,TIPO B PERUANA 200 GR,ROJO,510101|ROJO,6.6,1
510101,TIPO B PERUANA 200 GR,ROSADO VIVO,510101|ROSADO VIVO,37.8,2
510101,TIPO B PERUANA 200 GR,STONE,510101|STONE,4.9,1
510102,TIPO B PERUANA 250 GR,KAKY,510102|KAKY,16.8,1
510102,TIPO B PERUANA 250 GR,STONE,510102|STONE,10.0,1
520101,TIPO B LICRA FRIA 200 GR,BLANCO,520101|BLANCO,106.3,6
520101,TIPO B LICRA FRIA 200 GR,KAKY,520101|KAKY,23.3,1
520102,TIPO B LICRA FRIA 240 GR,ARENA,520102|ARENA,21.8,1
520102,TIPO B LICRA FRIA 240 GR,AZUL CLARO,520102|AZUL CLARO,10.2,1
520102,TIPO B LICRA FRIA 240 GR,BLANCO,520102|BLANCO,79.6,4
520102,TIPO B LICRA FRIA 240 GR,KAKY,520102|KAKY,23.9,1
520102,TIPO B LICRA FRIA 240 GR,LILA,520102|LILA,22.4,1
520104,TIPO B LICRA FRIA 170 GR,ROSADO,520104|ROSADO,28.3,1
540101,TIPO B PIMA PLUS,BLANCO,540101|BLANCO,20.0,1
540101,TIPO B PIMA PLUS,CIELO,540101|CIELO,25.5,1
