reference,color_normalized,product_key,descriptions,first_movement_date,last_movement_date,total_qty_in,total_qty_out,current_net_qty,movement_rows,sources
010208,IVORY,010208|IVORY,RIB PERUANA INTERLOCK 243 GR,2026-03-16,2026-06-30,124.4,29.2,95.2,6,receipts | sales
010208,KAKY,010208|KAKY,RIB PERUANA INTERLOCK 243 GR,2026-03-16,2026-04-28,48.7,0.0,48.7,2,receipts
010208,NEGRO,010208|NEGRO,RIB PERUANA INTERLOCK 243 GR,2026-03-16,2026-06-30,196.29999999999998,33.7,162.6,6,receipts | sales
010208,PALO DE ROSA,010208|PALO DE ROSA,RIB PERUANA INTERLOCK 243 GR,2026-03-16,2026-03-16,13.2,0.0,13.2,1,receipts
010208,ROJO,010208|ROJO,RIB PERUANA INTERLOCK 243 GR,2026-04-28,2026-04-28,46.3,0.0,46.3,1,receipts
010208,VERDE BOTELLA,010208|VERDE BOTELLA,RIB PERUANA INTERLOCK 243 GR,2026-04-28,2026-04-28,28.1,0.0,28.1,1,receipts
010208,VERDE SECO,010208|VERDE SECO,RIB PERUANA INTERLOCK 243 GR,2026-03-16,2026-03-16,14.1,0.0,14.1,1,receipts
010301,AMARILLO MEDIO,010301|AMARILLO MEDIO,"CUELLO S-M + PUNO | CUELLO S-M 40X8,5 + J PUNO 37,5X3,5",2025-12-31,2026-05-31,537.0,280.0,257.0,2,opening | sales
010301,ARENA,010301|ARENA,"CUELLO S-M + PUNO | CUELLO S-M 40X8,5 + J PUNO 37,5X3,5",2025-12-31,2026-02-28,2819.0,0.0,2819.0,2,opening | sales
010301,AZUL M,010301|AZUL M,"CUELLO S-M + PUNO | CUELLO S-M 40X8,5 + J PUNO 37,5X3,5",2025-12-31,2026-05-31,1177.0,280.0,897.0,2,opening | sales
010301,BLANCO,010301|BLANCO,"CUELLO S-M + PUNO | CUELLO S-M 40X8,5 + J PUNO 37,5X3,5",2025-12-31,2026-05-31,6675.0,740.0,5935.0,6,opening | sales
010301,CEMENTO,010301|CEMENTO,"CUELLO S-M + PUNO | CUELLO S-M 40X8,5 + J PUNO 37,5X3,5",2025-12-31,2026-05-31,1296.0,280.0,1016.0,3,opening | sales
010301,CIELO,010301|CIELO,"CUELLO S-M + PUNO | CUELLO S-M 40X8,5 + J PUNO 37,5X3,5",2025-12-31,2026-02-28,375.0,0.0,375.0,2,opening | sales
